|Reward: 0| Episode: 0
|Reward: -200| Episode: 2060
|Reward: -200| Episode: 2070
|Reward: -200| Episode: 2080
|Reward: -200| Episode: 2090
|Reward: -199| Episode: 2100
|Reward: -194| Episode: 2110
|Reward: -198| Episode: 2120
|Reward: -200| Episode: 2130
|Reward: -200| Episode: 2140
|Reward: -195| Episode: 2150
|Reward: -200| Episode: 2160
|Reward: -200| Episode: 2170
|Reward: -188| Episode: 2180
|Reward: -200| Episode: 2190
|Reward: -195| Episode: 2200
|Reward: -200| Episode: 2210
|Reward: -200| Episode: 2220
|Reward: -200| Episode: 2230
|Reward: -193| Episode: 2240
|Reward: -193| Episode: 2250
|Reward: -188| Episode: 2260
|Reward: -184| Episode: 2270
|Reward: -197| Episode: 2280
|Reward: -183| Episode: 2290
|Reward: -176| Episode: 2300
|Reward: -195| Episode: 2310
|Reward: -190| Episode: 2320
|Reward: -183| Episode: 2330
|Reward: -173| Episode: 2340
|Reward: -194| Episode: 2350
|Reward: -200| Episode: 2360
|Reward: -200| Episode: 2370
|Reward: -200| Episode: 2380
|Reward: -200| Episode: 2390
|Reward: -200| Episode: 2400
|Reward: -200| Episode: 2410
|Reward: -200| Episode: 2420
|Reward: -200| Episode: 2430
|Reward: -200| Episode: 2440
|Reward: -189| Episode: 2450
|Reward: -191| Episode: 2460
|Reward: -186| Episode: 2470
|Reward: -198| Episode: 2480
|Reward: -190| Episode: 2490
|Reward: -181| Episode: 2500
|Reward: -189| Episode: 2510
|Reward: -184| Episode: 2520
|Reward: -198| Episode: 2530
|Reward: -200| Episode: 2540
|Reward: -192| Episode: 2550
|Reward: -200| Episode: 2560
|Reward: -188| Episode: 2570
|Reward: -200| Episode: 2580
|Reward: -192| Episode: 2590
|Reward: -200| Episode: 2600
|Reward: -200| Episode: 2610
|Reward: -200| Episode: 2620
|Reward: -200| Episode: 2630
|Reward: -200| Episode: 2640
|Reward: -200| Episode: 2650
|Reward: -200| Episode: 2660
|Reward: -200| Episode: 2670
|Reward: -200| Episode: 2680
|Reward: -200| Episode: 2690
|Reward: -200| Episode: 2700
|Reward: -200| Episode: 2710
|Reward: -200| Episode: 2720
|Reward: -200| Episode: 2730
|Reward: -200| Episode: 2740
|Reward: -200| Episode: 2750
|Reward: -200| Episode: 2760
|Reward: -190| Episode: 2770
|Reward: -186| Episode: 2780
|Reward: -181| Episode: 2790
|Reward: -200| Episode: 2800
|Reward: -187| Episode: 2810
|Reward: -173| Episode: 2820
